,名称/规格,规格,批准文号,月售,评分,currentPrice,originalPrice
1294,丹媚 左炔诺孕酮肠溶片避孕药 1.5毫克*1片,1.5毫克*1片,国药准字H20080001,月售1份,评分4,39.8,
1295,[杰士邦]天然胶乳橡胶避孕套(ZERO零感`超薄超润)52mmx3只(光面型),,,月售1份,评分4,20.7,
1296,大卫 早早孕(HCG)检测试纸(胶体金法) HCG2.88 1条,,,月售20份,,1,
1297,[杜蕾斯]天然胶乳橡胶避孕套(热薄空气套)52mmx10只,,,,评分4,129,
1298,[杜蕾斯]天然胶乳橡胶避孕套(隐feel 超薄装)52mmx12只,,,月售6份,评分4,62,
1299,[杜蕾斯]天然胶乳橡胶避孕套(爽薄情迷装 香草香型)52mmx12只(粉红色),,,,,63,
1300,仙琚 左炔诺孕酮肠溶胶囊 1.5mg*1粒,1.5MG*1粒,国药准字H20080459,月售1份,,35.6,
1301,[杜蕾斯]天然胶乳橡胶避孕套（凸点螺纹装 有香味）56mmx12只,,,月售3份,,61.9,
1302,[名流]天然胶乳橡胶避孕套(润滑超薄避孕套 MO)52±2mmx9只(光面超薄型),,,,,51.5,
1303,冈本 避孕套超润滑透薄 10片装,,,月售1份,,62.8,
1304,名流 超薄延时紧绷持久四合一24只/盒,,,月售2份,评分4,20.9,
1305,大卫 早早孕(HCG)检测试纸(胶体金法)试盒 1条,,,月售10份,,9,
1306,[冈本]天然胶乳橡胶避孕套(无感透薄)53±2mmx10片(直形光面型/浅蓝色 赠3只超润滑透薄),,,月售3份,,62.8,
1307,[冈本]天然胶乳橡胶避孕套(冰感透薄 薄荷味)53±2mmx10片(直形光面型/浅蓝色),,,月售1份,,62.8,
1308,[杰士邦]天然胶乳橡胶避孕套(ZERO零感·清薄纯净)52mmx3只(光面 胶乳原色),,,,,25.9,
1309,[杰士邦]天然胶乳橡胶避孕套(自由派 柠檬香)12只(光面)(赠6只超滑超薄),,,,,44.9,
1310,[名流]天然胶乳橡胶避孕套(致薄002 光面超薄型 茉莉香)52mmx10只,,,,评分4,13.1,
1311,[万华牌]人绒毛膜促性腺激素诊断试剂盒(胶体金免疫层析法 孕友早早孕检测试纸)1人份(条型),,,月售3份,,2,
1312,【处方药】达英35 炔雌醇环丙孕酮片 21片,21片,国药准字J20140114,月售1份,,55,
1313,[名流]天然胶乳橡胶避孕套(冰火6合1),,,,,20.9,
1314,[名流]天然胶乳橡胶避孕套(有型超薄装 桂花香 精品)52mmx10只(光面香味型),,,,,13.1,
1315,[万华牌]促黄体生成素检测试剂盒(胶体金免疫层析法 乐夫排卵检测试纸)1人份(条型),,,月售1份,评分4,2,
1316,[万大夫]人绒毛膜促性腺激素诊断试剂盒(胶体金免疫层析法)(孕友早早孕检测试纸)1人份(板型),,,月售1份,评分4,18.9,
1317,[名流]天然胶乳橡胶避孕套(活力螺纹 螺纹香味型 柠檬香)52mmx10只,,,月售3份,评分4,13.1,
1318,[名流]天然胶乳橡胶避孕套(动感颗粒 浮点香味型 香草香)52mmx10只,,,月售1份,,13.1,
1319,[杜蕾斯]天然胶乳橡胶避孕套(大胆爱吧 香草香型)52mmx10只(粉红色),,,月售15份,评分3.7,16.7,24.9
1320,[杜蕾斯]天然胶乳橡胶避孕套(螺纹装)53mmx12只(粉红色),,,月售1份,评分4,46.2,
1321,[杜蕾斯]天然胶乳橡胶避孕套(紧型装 直壁平面结构 香草香型)49mmx12只(普通光面型 粉色),,,,,49.4,
1322,[杜蕾斯]天然胶乳橡胶避孕套(隐feel 超薄装)52mmx3只,,,月售6份,,17.9,
1323,[陌陌]天然胶乳橡胶避孕套(超薄002 果味香)52±2mmx10只(光面型),,,,,29,
1324,[万大夫]人绒毛膜促性腺激素诊断试剂盒(胶体金法)(孕友早早孕检测试纸(迷你笔)1人份(笔型),,,月售1份,,26.3,
1325,[杰士邦]天然胶乳橡胶避孕套(ZERO零感·超薄沁润),,,,,46.5,
1326,【处方药】优思悦 屈螺酮炔雌醇片（II）28片/板/盒,28片/板/盒,H20140972,月售5份,,170.52,175
1327,[杜蕾斯]天然胶乳橡胶避孕套(激情装 香草香型)52mmx12只,,,,,51.6,
1328,[杜蕾斯]天然胶乳橡胶避孕套(AiR隐薄 空气套)52mmx6只,,,月售1份,,83,
1329,[万华牌]促黄体生成素检测试剂盒(胶体金免疫层析法)(乐夫排卵检测试纸 精装)1人份x5袋(条型),,,月售1份,评分4,21,
1330,[杜蕾斯]天然胶乳橡胶避孕套(活力装 香草香型)52mmx3只(粉红色),,,,,12.5,
1331,[陌陌]天然胶乳橡胶避孕套(超薄002 果味香)52mm±2mmx3只(光面型),,,,,3.8,
1332,[杜蕾斯]天然胶乳橡胶避孕套（激情装）52mmx3只,,,月售6份,评分4,15.6,
1333,[可丽蓝]促黄体生成激素(LH)检测试剂(乳胶法)(排卵测试笔)7支装,,,,,104,
1334,[冈本]天然胶乳橡胶避孕套（冈本OK 0.03贴身超薄）52±2mmx6片（胶乳原色）,,,,,71.4,
1335,[万华牌]促黄体生成素检测试剂盒(胶体金免疫层析法 乐夫排卵检测试纸)1人份x10袋(条型 精装),,,,,29.9,
1336,[杜蕾斯]天然胶乳橡胶避孕套（情趣组合装）52±2mmx12只,,,,评分4,52.4,
1337,[杜蕾斯]避孕套(大胆爱吧)+避孕套(AiR隐薄空气套 赠品),,,月售3份,评分5,24.9,
1338,[冈本]避孕套(纯+0.03 数字薄+0.03白金超薄)3片(纯)+3片(数字薄)+3片(白金超薄),,,月售1份,,57,
1339,[保仕婷]左炔诺孕酮片(金装)+[冈本]避孕套(0.03 超润滑)1片(保仕婷)+1片(避孕套),,,,,69.8,
1340,[赤尾]天然胶乳橡胶避孕套(铂金至薄无储精囊 光面型)52mmx7只,,,,,74.8,
1341,[冈本]避孕套(质感超薄+纯+激薄)10片(质感超薄)+3片(纯)+5片(激薄),,,,,81,
1342,[赤尾]天然胶乳橡胶避孕套(黑金极薄)52mmx7只(无储精囊/光面型),,,,,92.4,
1343,[保仕婷]左炔诺孕酮片(金装)+[康丽赋]舒畅呼吸贴片1片(保仕婷)+1片(舒畅呼吸贴片),,,,,69.8,
1344,[杜蕾斯]天然胶乳橡胶避孕套(挚爱装)52mmx3只,,,,,14.2,
1345,[杜蕾斯]天然胶乳橡胶避孕套(热感超薄装 有香味)52.5mmx12只,,,,,75.9,
1346,[杜蕾斯]避孕套(隐feel 超薄装)+(AiR隐薄空气套 赠品),,,,,59,
1347,[杜蕾斯]避孕套(AiR隐薄 空气套)+避孕套(AiR隐薄空气套 赠品),,,,,79,
1348,[冈本]避孕套(0.03白金超薄+激薄+0.03 数字薄),,,,,109,
1349,紧急避孕([保仕婷]左炔诺孕酮片+[力度伸]维生素C泡腾片(橙味),,,,评分4.5,122,
1350,[网易严选]天然胶乳橡胶避孕套(超薄系列)52mmx12只(光面型),,,,,20.9,
1351,[冈本]避孕套(质感超薄+超润滑+激薄)10片(质感超薄)+10片(超润滑)+5片(激薄),,,,,108.8,
1352,[春风TryFun]天然胶乳橡胶避孕套(00163空气至薄)52±2mmx6片(平滑超薄型/自然色),,,,,99,
1353,[冈本]聚氨酯避孕套(0.01)+避孕套(激薄+0.03 数字薄),,,,,79,
1354,吗丁啉 多潘立酮片 10mg*42片 胃胀消化不良,10mg*2*21片/板,国药准字H10910003,月售8份,,17.2,29.8
1355,[仁和]健胃消食片+[吗丁啉]多潘立酮片0.5gx10片x4板x4盒+10mgx21片x2板,,,月售1份,,56,
1356,同仁堂 香砂和胃丸 6g*12袋,6g*12袋水丸,国药准字Z11020860,月售3份,,23.6,
1357,天士力 大山楂丸 9g*20丸,9g*20丸,国药准字Z10800001,,评分5,20.8,
1358,中央 麻仁软胶囊 0.6g*10s*3板,0.6g*10s*3板,国药准字Z10940031,月售3份,评分4,28.1,
1359,立效 大山楂丸 9g*40丸,9g*40丸,国药准字Z14020087,月售10份,评分5,26.8,
1360,胡庆余堂  沉香化气胶囊  0.45g*24粒,0.45G*24粒,国药准字Z20010066,,,35.2,
1361,江中 乳酸菌素片(嚼服) 0.4g*64片/盒,0.4g*64片/盒,国药准字H20059905,月售8份,评分4.5,29.5,
1362,江中 健胃消食片 0.8g*32片 无糖型,0.8g*32片(无糖型（薄膜衣）),国药准字Z20013220,月售6份,评分4.3,19.8,
1363,[仁和]通便灵胶囊0.25gx10粒x3板,,,月售3份,评分5,25.2,
1364,保立消 保和咀嚼片 1.05g*16片,1.05g*16片,国药准字Z20050028,月售3份,评分4,20.8,
1365,江中 健胃消食片 64片装,0.8g*64片,国药准字Z20013220,月售19份,评分4.4,15.78,33.6
1366,援生力维 马来酸曲美布汀片 0.1g*20片/盒,0.1g*20片/盒,国药准字H20000388,,,19.8,
1367,快力 枸橼酸莫沙必利片 5mg*24片,5mg*24片,国药准字H19990317,,,26,
1368,同仁堂 大山楂丸 9g*10丸,9G*10S,国药准字Z11020135,月售8份,评分4.3,14,
1369,美罗 乳果糖口服溶液 10毫升* 9支,10毫升*9支,国药准字H20093299,,,59,
1370,孔孟 参苓白术丸 6g*10袋,100粒,国药准字Z20023053,月售8份,评分4,12.6,
1371,同仁堂 麻仁润肠丸 6g*10丸,6g*10s,国药准字Z11020159,月售3份,评分4,16.3,
1372,同仁堂 加味保和丸 6g*12袋,6g*12袋水丸,国药准字Z11020948,,,13.5,
1373,麦迪海  甘油灌肠剂  110ml/盒,110ml/盒,国药准字H11022362,,,10.5,
1374,【处方药】葵花 护肝片 0.35g*100片,0.35g*100片,国药准字Z20003336,,,29.4,
1375,天桥牌 干酵母片 0.2g*80片,0.2g*80s,国药准字H44022243,月售2份,评分4,2.2,
1376,美能 复方甘草酸苷片 21片/盒,复方,国药准字H20130148,月售4份,,39.8,
1377,可伊 新复方芦荟胶囊  0.43gx30粒,0.43g*30粒,国药准字Z13020306,,,48,
1378,易善复 多烯磷脂酰胆碱胶囊 36粒,36粒,国药准字H20059010,,,91.4,
1379,江中 健胃消食片（成人） 0.8g*32片,0.8g*8s*4板（薄膜衣）,国药准字Z20013220,月售59份,评分4.1,6.5,16
1380,维多力 二甲硅油 100片,25mg*100s,国药准字H41023811,,,11.6,
1381,立效 龙胆泻肝丸  6g*20袋/盒,6g*20袋,国药准字Z14020092,,,19.4,
1382,杜密克 乳果糖口服溶液 15ml/袋*6袋/盒,15ml/袋*6袋,进口药品注册证号:H20171057,月售21份,,41.94,43.5
1383,无 润肠通便茶 3gx20袋,3gX20袋,国药准字B20020980,,,49.8,
1384,仁和 健胃消食片 0.5g*10片*4板/盒,0.5g*10片*4板,国药准字Z20053339,月售3份,评分4,9.9,
1385,恩甘定 恩替卡韦胶囊 0.5mg*7粒,0.5mg*7粒,国药准字H20110172,,,35,
1386,【处方药】济生堂 胆舒胶囊 0.45g*30粒,0.45g*30粒,国药准字Z20026078,,,35.9,
1387,天桥 食母生片 0.2g*80s,0.2g*80s,国药准字H44024109,,,2.9,
1388,济川 健胃消食口服液 10ml*10支/盒,10ml*10支/盒,国药准字Z20030094,,,46.5,
1389,江中 乳酸菌素片 0.4g*32片,0.4g*8s*4板,国药准字H20059905,月售8份,评分4.3,16.7,18
1390,以岭 通便灵胶囊 0.25g*30粒,0.25g*30s,国药准字Z20043364,,评分4,13.1,
1391,桂药 乳酶生片 0.15g*100片,0.15g*100s,国药准字H45020337,月售1份,,4,
1392,江中 乳酸菌素片 0.2g*36片/盒,0.2g*36片/盒,国药准字H20059903,,评分4,18.9,
1393,昆中药 参苓健脾胃颗粒 5g*8袋( 无糖型)/盒,5g*8袋(无糖型),国药准字Z20083412,,,35,
1394,麦迪海 开塞露(含甘油) 20ml*2支,20ML*2支,国药准字H11021175,月售457份,评分4,0.8,1.9
1395,[信龙]开塞露(含甘油),,,月售23份,评分4.3,2.8,
1396,瑞琪 枸橼酸莫沙必利片 5mg*24片,5mg*24片,国药准字H19990315,月售1份,,31,
1397,梅羊羊 开塞露（含甘油）20ml*2支/盒,20ML*2支,国药准字H12020336,月售11份,,10.3,
1398,仁和 健胃消食片 0.5g*30片,0.5g*30片,国药准字Z20053339,,,13.8,
1399,【处方药】康弘 枸橼酸莫沙必利分散片 5mg*12片,5mg*12片,国药准字H20031110,,,29.8,
1400,同仁堂 人参健脾丸 6g*10丸,6g*10丸,国药准字Z11020106,,,13.1,
1401,同仁堂 舒肝和胃丸 180丸,180s水蜜丸,国药准字Z11020071,月售2份,评分4,10.3,
1402,[江中]参苓白术颗粒6gx15袋,,,月售1份,,39.8,
1403,[仁和]比沙可啶肠溶片5mgx8片,,,,,18,
1404,【处方药】协和 双环醇片 25mg*18片,25mg*18片,国药准字H20040467,,,68,
1405,同仁堂 开胸顺气丸 6g*10袋,6g*10袋,国药准字Z11020148,,,18.8,
1406,【处方药】迪尔舒 胸腺肽肠溶片 20mg*10片,20mg*10片,国药准字H20058365,,,23,
1407,同仁堂 舒肝丸 6g*10丸,6g*10丸,国药准字Z11020029,月售3份,,15.8,
1408,润众 恩替卡韦分散片 0.5mg*28片/盒,0.5mg*28片/盒,国药准字H20100019,,,225,
1409,葵花 护肝片 0.35g*200片/盒,0.35g*200片,国药准字Z20003336,,,68,
1410,同仁堂 龙胆泻肝丸 6g*12袋,6g*12袋,国药准字Z11020653,,评分4,16.3,
1411,【处方药】舒泰清 复方聚乙二醇电解质散(Ⅳ)  6袋,6袋,国药准字H20040034,,,38,
1412,片仔癀 3g*1粒/盒,3g*1粒/盒,国药准字Z35020243,,,590,
1413,同仁堂 木香顺气丸 6g*12袋,6g*12袋,国药准字Z11020664,月售1份,,16.8,
1414,同仁堂 舒肝和胃丸 6g*10丸,6g*10s大蜜丸,国药准字Z11020202,,,12.4,
1415,【处方药】博路定 恩替卡韦片 0.5mg*7片,0.5mg*7片,国药准字H20052237,,,139,
1416,福松 聚乙二醇4000散 10g*10袋,10g*10袋,国药准字H20080089,,,29,
1417,优思弗 熊去氧胆酸胶囊 250mg*25粒,250mg*25粒,国药准字H20050181,月售4份,,228,
1418,同仁堂 舒肝止痛丸 4.5g*10袋,4.5g*10袋,国药准字Z11020072,,,13.8,
1419,【处方药】泌特 复方阿嗪米特肠溶片 10片*2板,10片*2板,国药准字H20000232,月售1份,,35,
1420,天水岐黄 苁蓉通便口服液 100ml/盒,100mL,国药准字Z10910032,,,75.4,
1421,维威 大山楂颗粒 10g*15袋/袋,10g*15袋/袋,国药准字Z45021947,,,17,
1422,康弘 枸橼酸莫沙必利分散片 5mg*20片/盒,5mg*20片,国药准字H20031110,,,25,
1423,瑞甘 门冬氨酸鸟氨酸颗粒剂 3g*10袋/盒,3g*10袋/盒,国药准字H20090160,,,69,
1424,水林佳 水飞蓟宾胶囊 35mgx10粒x3板,35mgx10粒x3板,国药准字H20040299,,,45,
1425,【处方药】阿拓莫兰 谷胱甘肽片 0.1g*36片,0.1g*36片,国药准字H20050667,,,68,
1426,同仁堂 平肝舒络丸 6gx10丸,6gX10丸,国药准字Z11020102,,,19.8,
1427,同仁堂 舒肝丸 32g  /瓶,32G,国药准字Z11020760,,,15.2,
1428,思美泰 丁二磺酸腺苷蛋氨酸肠溶片 500mg*10片,500mg*10片,国药准字H20110459,,,190,
1429,707 金胆片 100片/瓶,100片/瓶,国药准字Z32020723,,,17.4,
1430,润众 恩替卡韦分散片 0.5mg*7片/盒,0.5mg*7片/盒,国药准字H20100019,月售1份,,69,
1431,森隆 安络化纤丸 6g*10袋/盒,6g*10袋,国药准字Z20010098,,,72,
1432,双海 扶正化瘀胶囊 0.3*60粒,0.3*60粒,国药准字Z20020073,,,51.8,
1433,恩替卡韦分散片 0.5mg*7片/盒/盒,0.5mg*7片/盒,国药准字H20100141,,,39,
1434,[麦迪海]开塞露(含甘油)+[杜密克]乳果糖口服溶液20mlx2支+15mlx6袋,,,月售9份,评分5,39.9,
1435,肠胃用药组合(山楂小丸子+[仁和]健胃消食片)128g+0.5gx10片x4板x4盒,,,月售1份,,39,
1436,[江中]健胃消食片(成人)+[吗丁啉]多潘立酮片0.8gx8片x4板+10mgx21片x2板,,,月售1份,,41,
1437,[吗丁啉]多潘立酮片(甲类)+[邦民制药]保和咀嚼片10mgx21片x2板+1.05gx8片x2板,,,月售1份,,32.9,
1438,【处方药】甘利欣 甘草酸二铵胶囊 50mg*24粒,50mg*24粒,国药准字H10940191,,,19,
1439,【处方药】步长 肝爽颗粒 3g*9袋,3g*9袋,国药准字Z20027671,,,58,
1440,肝泰舒胶囊 0.4g*20s/盒,0.4g*20s,国药准字Z20025143,,,57.6,
1441,甘泽 恩替卡韦胶囊 0.5mg*24粒/盒,0.5mg*24粒,国药准字H20120038,,,48,
1442,阿德福韦酯胶囊 10mg*10s/盒,10mg*10s,国药准字H20070123,,,95,
1443,[邦民制药]保和咀嚼片+[江中]乳酸菌素片,,,,,21.9,
1444,达仁堂 肝炎康复丸 9gx10丸,9gx10丸,国药准字Z12020708,,,52,
1445,回乐 复方鳖甲软肝片 0.5g*36片,0.5g*36片,国药准字Z19991011,,,120,
1446,名正 阿德福韦酯胶囊 10mg*14粒/盒,10mg*14粒/盒,国药准字H20060666,,,69,
1447,贺普丁 拉米夫定片 0.1g*14粒,0.1g*14粒,国药准字H20030581,,,145,
1448,[江中]乳酸菌素片(嚼服)+[思密达]蒙脱石散（草莓口味）0.4gx8片x8板+3gx10袋,,,,评分4,49.8,
1449,成人止泻组包 ([江中]乳酸菌素片+[喇叭牌]康腹止泻片)0.4gx8片x4板+0.24gx24片,,,,,66,
1450,美林 布洛芬混悬液 100ml:2g 儿童发烧,100mL,国药准字H19991011,月售19份,评分4,24.2,34.8
1451,儿童外感风寒感冒组包10mlx10支x2盒+100ml,,,,,83,
1452,同仁堂 儿感清口服液 10ml*10支,10ml*10支,国药准字Z19991032,月售26份,评分3.9,32.8,
1453,丁桂 丁桂儿脐贴 1.6g*5贴,1.6g*5贴,国药准字B20020882,月售6份,,38.6,
1454,泰诺林 对乙酰氨基酚口服混悬液 100ml:3.2g,100mL,国药准字H19990006,月售4份,,32.8,
1455,贝得宁 儿童咳液 150ml,150mL,国药准字Z10950659,月售1份,,31.3,
1456,葫芦娃 小儿肺热咳喘颗粒 4g*10袋/盒,4g*10袋/盒,国药准字Z45021857,,,35.8,
1457,伊可新 维生素AD滴剂(0-1岁)  30粒,30粒,国药准字H37022973,月售11份,评分4.1,32.2,41.8
1458,葵花 小儿肺热咳喘颗粒 3g*6袋,3g*6袋,国药准字Z20053532,月售3份,评分4,29.5,
1459,泰诺林 对乙酰氨基酚混悬滴剂 20ml（15ml：1.5g）*1瓶,20ml（15ml：1.5g）*1瓶,国药准字H19990007,月售5份,评分4.6,34.4,
1460,神苗 小儿清肺化痰颗粒 6g*15袋,6g*15袋,国药准字Z13020794,,,32.8,
1461,三精 葡萄糖酸锌口服溶液(蓝瓶) 10ml*12支,10mlx12支(10ml:35mg),国药准字H20173013,月售5份,评分4.3,38.2,42.8
1462,普正 小儿感冒宁合剂 100ml,100mL,国药准字Z20090787,,,31,
1463,葫芦娃 小儿肺热咳喘颗粒 4g*9袋,4g*9袋,国药准字Z20033152,,,31.5,
1464,999 小儿感冒颗粒 6g*24袋,6g*24袋,国药准字Z37021392,月售4份,评分5,33.5,
1465,小葵花 小儿柴桂退热颗粒 5g*10袋,5g*10袋,国药准字Z20050716,月售3份,评分5,28.2,39.8
1466,江中 健胃消食片 0.5g*72片,0.5g*72片,国药准字Z36021464,月售1份,评分4.4,19.6,29.8
1467,鲁南 小儿消积止咳口服液 10ml*10支/盒,10ml*10支/盒,国药准字Z10970022,月售2份,,53,
1468,伊可新 维生素AD滴剂(1岁以上)  30粒,30粒,国药准字H37022974,月售27份,评分4,33.3,38.8
1469,恩威 化积口服液 10ML*12支/盒,10ml*12支,国药准字Z10890005,,,30.2,
1470,葵花 小儿感冒颗粒 6g*10袋,6g*10袋,国药准字Z13022260,月售2份,评分5,26.3,
1471,益民堂 小儿感冒宁糖浆 100ml,100mL,国药准字Z22025552,月售13份,评分4.5,24,
1472,优卡丹 小儿清热止咳合剂（小儿清热止咳口服液） 9支/盒,10毫升*9支,国药准字Z19993326,,,32,
1473,易坦静 氨溴特罗口服溶液 120ml/瓶,120mL,国药准字H20040317,月售2份,,37.8,
1474,迪巧 儿童维D钙咀嚼片 300mg*30片,300mg*30片,国药准字J20140153,月售7份,评分4,48.8,52.3
1475,葵花 小儿咳喘灵口服液 10ml*6支,10ml*6支,国药准字Z51021865,月售1份,评分5,26.8,
1476,健兴 醒脾养儿颗粒 2g*12袋,2g*12袋,国药准字Z20025415,,,26.9,31.3
1477,鲁南 平奇 孟鲁司特钠咀嚼片 5mg*12片/盒,5mg*12片/盒,国药准字H20083330,,,67,
1478,同仁堂 儿童清肺丸 3g*10丸,3g*10丸,国药准字Z11020010,,评分4,19.7,
1479,希刻劳 头孢克洛干混悬剂 0.125g*6袋/盒,0.125g*6袋/盒,国药准字H10983028,月售2份,,29,
1480,希舒美 阿奇霉素干混悬剂 0.1g*6袋/盒,0.1g*6袋/盒,国药准字H10960112,月售1份,,39,
1481,再林 阿莫西林颗粒  0.125g*30袋/盒,0.125g*30袋,国药准字H46020605,,,22.5,
1482,顺尔宁  孟鲁司特钠咀嚼片  4mg*5片/盒,4mg（以孟鲁司特钠计）,国药准字H20120364,,评分4,32,
1483,顺尔宁 孟鲁司特钠咀嚼片 5mgx5片,5mgx5片,国药准字J20130054,月售4份,,35,
1484,肠虫清 阿苯达唑片 0.2g*10片,0.2g*10s（薄膜衣）,国药准字H12020496,月售3份,评分4,17.3,
1485,小施尔康 小儿维生素咀嚼片 30片,30s,国药准字H10930016,,,29.4,
1486,同仁堂 启脾丸 3g*10粒,3g*10粒,国药准字Z11020161,,评分5,27.3,
1487,优卡丹 维生素AD滴剂(一岁以上) 10粒x4板,(2000IU+700IU)*10粒*4板,国药准字H20057262,,,39.4,
1488,999 小儿氨酚黄那敏颗粒(甜橙味) 6g*10袋,6g*10袋,国药准字H11022051,月售15份,评分4.2,9.6,15.8
1489,同贝 小儿豉翘清热颗粒 2gx9袋/盒,2gx9袋,国药准字Z20050154,月售16份,评分4,37.6,39.8
1490,葵花 小儿肺热咳喘口服液 10ml*8支,10ML*8支,国药准字Z10950080,月售6份,评分4.1,35.3,39.4
1491,小快克 小儿氨酚黄那敏颗粒 4g*15袋,4g*15袋,国药准字H33022441,月售7份,评分4.2,19.5,
1492,优卡丹 小儿咳喘灵颗粒 2g*12袋,2g*12袋,国药准字Z20053197,月售1份,,19.8,
1493,999 小儿感冒颗粒 6g*10袋,6g*10袋,国药准字Z37021392,月售2份,评分4,24,
1494,百灵鸟  小儿柴桂退热颗粒  4g*16袋/盒,4g*16袋,国药准字Z20050429,,,53,
1495,迪巧 小儿碳酸钙D3颗粒 1g*10袋,1g*10袋,国药准字J20130144,月售2份,,58,
1496,江中 健儿消食口服液 10ml*10支,10ml*10支,国药准字Z20063702,月售2份,评分4,26.3,
1497,【处方药】可威 磷酸奥司他韦颗粒 15mg*10袋,15mg*10袋,国药准字H20080763,,,59,
1498,同笑 赖氨肌醇维B12口服溶液 100ml,100mL,国药准字H32026226,,,31.3,
1499,好娃娃 小儿氨酚烷胺颗粒 4g*12袋,4g*12袋,国药准字H13023418,,,20.8,
1500,999 小儿止咳糖浆 225ml,225mL,国药准字Z43020385,月售3份,,28,
1501,江中 健胃消食片 0.5g*36片,0.5g*12s*3板（薄膜衣）,国药准字Z36021464,月售4份,评分4,16,
1502,葵花 小儿氨酚烷胺颗粒 6克*12袋,6克*12袋,国药准字H13023878,月售2份,,25,
1503,妈咪爱 枯草杆菌二联活菌颗粒 1g*30袋,1g*30袋,国药准字S20020037,月售14份,,59.8,
1504,好娃娃 小儿咳喘灵口服液 10ml*10支,10ml*10支,国药准字Z13021859,,,25,
1505,三力 开喉剑喷雾剂(儿童型) 30ml*1瓶/盒,30mL,国药准字Z20025142,月售2份,,52,
1506,护彤 小儿氨酚黄那敏颗粒 2g*12袋,2g*12袋,国药准字H23022613,月售5份,评分4,22,
1507,潘高寿 小儿清热利肺口服液 10mlx10支,10mlX10支,国药准字Z19991010,月售1份,,50.4,
1508,仁和 小儿咽扁颗粒 8g*8袋/盒,8g*8袋,国药准字Z20055270,月售2份,评分4.3,26.8,
1509,思密达 蒙脱石散 3g*10袋,3g*10袋（草莓味）,国药准字H20000690,月售13份,评分4.2,20.6,28
1510,妈咪爱 枯草杆菌二联活菌颗粒 1g*10袋,1g*10袋,国药准字S20020037,,评分4.1,17.4,23.3
1511,思密达 蒙脱石散（桔子味）3g*10袋,3g*10袋,国药准字H20000690,月售4份,评分5,28.4,
1512,优卡丹 小儿咳喘灵口服液 10ml*6支,10ml/支*6支/盒,国药准字Z36021778,,,25.8,
1513,优卡丹 小儿氨酚烷胺颗粒 6g*15袋,6gx15袋,国药准字H20068170,,,27.1,
1514,东科 黄龙止咳颗粒 3G*12袋,3g*12袋,国药准字B20020710,,,62.6,
1515,海洋 复方碳酸钙泡腾颗粒 1.5g*30袋,1.5g*30袋,国药准字H20040896,月售1份,,60.9,
1516,泰诺林 对乙酰氨基酚混悬滴剂 15ml,15mL,国药准字H19990007,月售1份,评分4,23.1,
1517,优卡丹 小儿热速清糖浆 100ml/瓶,100ml/瓶,国药准字Z20000094,,,31.3,
1518,仁和 阿奇霉素干混悬剂 6袋/盒,6袋/盒,国药准字H20057649,,,23,
1519,一正 小儿热速清口服液 10ml*6支,10ml*6支,国药准字Z10900020,,,26.3,
1520,仁和  头孢克洛干混悬剂  0.125g*10袋/盒,0.125g*10袋/盒,国药准字H20084417,,,23.8,
1521,朗迪 碳酸钙D3颗粒 3g*12袋,3g*12袋,国药准字H20090334,,评分4,70.1,
1522,优卡丹 小儿氨酚黄那敏颗粒 3g*15袋(新老包装随机发货),3g*15袋,国药准字H36022035,月售2份,,23.9,
1523,优卡丹 小儿氨咖黄敏颗粒 5g*12袋,5g*12袋,国药准字H52020778,月售1份,,23.5,
1524,葵花 小儿清肺化痰口服液 10ml*6支,10ml*6支,国药准字Z13022261,月售3份,,27.8,
1525,武汉健民 小儿宣肺止咳颗粒 8g*10袋,8g*10袋,国药准字Z10970029,,,27.8,
1526,仁和 小儿七星茶颗粒 7g*8袋,7G/袋*8袋,国药准字Z44020606,,,16.8,
1527,精朗迪 碳酸钙D3颗粒 1.5克/袋*18袋/盒,每袋含钙0.25克与维生素D3 2.5微克(100国际单位),国药准字H20163149,,,71.4,
1528,臣功再欣 复方锌布颗粒剂 12袋,12包,国药准字H32026469,月售2份,评分4,16.3,
1529,三公仔 小儿七星茶颗粒 7g*10袋,7g*10袋,国药准字Z44023698,月售1份,评分4,16.8,
1530,小儿退烧组包([美林]布洛芬混悬液+[优卡丹]医用退热贴)100ml(美林)+2片(退热贴),,,月售1份,,39,
1531,[亚宝]丁桂儿脐贴+[思密达]蒙脱石散(草莓味)5贴(丁桂儿脐贴)+10袋(思密达),,,月售1份,,61,
1532,[亚宝]丁桂儿脐贴+[妈咪爱]枯草杆菌二联活菌颗粒5贴(丁桂儿脐贴)+10袋(妈咪爱),,,月售1份,,58,
1533,同仁堂 小儿健脾丸 3g*10丸,3g*10丸,国药准字Z11020221,月售1份,,19,
1534,立效  小儿吐泻宁散  3g*6袋/盒,3g*6袋,国药准字Z14020122,,,6.8,
1535,【处方药】美林 布洛芬混悬滴剂 20ml,20mL,国药准字H19991012,,,28,
1536,健民 小儿解感颗粒 2.5g*10袋,2.5g*10袋,国药准字Z20060210,,,18.7,
1537,优卡丹 维生素AD滴剂(胶囊型)(一岁以下) 40粒,40粒,国药准字H20057263,,评分4,39.4,
1538,杨济生 健儿清解液 10ml*6支,10ml*6支,国药准字Z36021431,,评分4.5,16.6,
1539,米阿卡 对乙酰氨基酚颗粒 2gx12袋,2gX12袋,国药准字H20054794,,,18,
